Date,Place,Street,Railroad,Description
28/04/16 22:41,"LITHONIA, GEORGIA",ROGERS LAKE ROAD,CSX Transportation,"A95228 WAS STOPPED, CONDUCTING A HANDBRAKE TEST, WHEN HIS TRAIN WAS STRUCK BY MOTORIST. MOTORIST WAS ARRESTED AT SCENE. MOTORIST AGE AND GENDER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS)."
28/04/16 18:20,"BAY MINETTE, ALABAMA",DICKMAN ROAD,CSX Transportation,"M70328 CONDUCTOR WAS ON THE GROUND FLAGGING THE CROSSING. THE CONDUCTOR HAD THE TRAFFIC STOPPED AT THE CROSSING. THE CONDUCTOR STARTED OVER THE CROSSING WITH GATX 69418 WHEN THE CAR ON THE EAST SIDE ROLLED INTO THE SIDE OF THIS CAR ON THE A-END. THE CONDUCTOR STARTED OVER TO THE CAR WHEN THE DRIVERMADE A U TURN LEAVING THE SCENE OF THE ACCIDENT. M70328 HAD A PTI WAGON WAITING ON THE CREW TO CARRY THEM BACK TO MOBILE. CREW CALLED THE DISPATCHER, NO POLICE WAS NOTIFIED OF THE INCIDENT. THEY WROTE"
28/04/16 14:25,"BRUNI, TEXAS",PRIVATE ROAD,Kansas City Southern Railway Company,"A SEMI TRUCK WITH TRAILER DROVE OVER THE CROSSING AT BRUNI, TEXAS, AND WAS STRUCK BY THE TRAIN AT MP 45 IN THE LAREDO SUBDIVISION."
28/04/16 12:35,"GREAT BARRINGTON, MASSACHUSETTS",MAPLE AVENUE,"Housatonic Railroad Company, Incorporated","A MOTOR VEHICLE WAS TRAVELING WEST ON ROUTE 23 IN GREAT BARRINGTON, MA AS THE NORTHBOUND TRAIN WAS APPROACHING THE GRADE CROSSING. THE CROSSING WARNING CONSISTS OF GATES, CANTILEVERS AND CROSS BUCKSAND IT WAS FULLY ACTIVATED WITH THE GATES ACROSS ROUTE 23. THE VEHICLE TRAVELED INTO AND UNDER THEGATE AND WAS STRUCK BY THE TRAIN. THE IMPACT CAUSED THE VEHICLE TO OVERTURN AND RESULTED IN THE DEATH OF THE DRIVER, WHO WAS NOT WEARING A SEAT BELT AND WAS PARTIALLY EJECTED THROUGH THE SUNROOF. HE W"
28/04/16 10:50,"N/A, PENNSYLVANIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN K22H928 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
28/04/16 10:10,"GIBBON, NEBRASKA",HWY 30,Union Pacific Railroad Company,TRUCK PULLED ACROSS THE CROSSING IN FRONT OF THE TAMPER AND WAS STRUCK ON THE PASSENGER SIDE OF THETRUCK.
28/04/16 8:30,"LA PORTE, INDIANA",CITY ST/PULASKI ST,Norfolk Southern Corporation,NS TRAIN 23ZB226 STRUCK A HWY-USER (PEDESTRIAN) AT A HWY-GRADE CROSSING.
28/04/16 7:30,"PLANO, TEXAS","US 75, E FRONTAGE RD",Kansas City Southern Railway Company,THE GATES CAME DOWN ON A VEHICLE THAT HAD STOPPED ON THE CROSSING AND THE CAR WAS SUBSEQUENTLY STRUCK BY THE TRAIN.
27/04/16 19:47,"N/A, PENNSYLVANIA",TWP 616/BOWERS RD,Norfolk Southern Corporation,NS TRAIN 25MH528 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
27/04/16 17:20,"SACRAMENTO, CALIFORNIA",FRUITRIDGE ROAD,Union Pacific Railroad Company,SEMI TRUCK WENT AROUND THE ACTIVATED GATE AND STOPPED ON THE CROSSING. HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - STOPPED
27/04/16 1:05,"CLEVELAND, OHIO",480 ROAD CROSSING,Cleveland Works Railway Company,"124 JOB WAS SHOVING 18 CARS THROUGH SENECA ON THE MAIN AND STOPPED TO LINE THE X-OVER SWITCHES, THEN PROCEED SOUTH TO TRACK 480 WHEN CONDUCTOR SAW A EUCLID TRUCK STOP WHICH ALLOWED HIM TO CONTINUE THE MOVEMENT. AS THE 124 JOB APPROACHED THE ROAD CROSSING THE EUCLID DRIVER PROCEEDED TO MOVE INTO THE PATH OF THE TRAIN. THE CONDUCTOR JUMPED OFF THE LEAD CAR. THE ENGINEER PUT THE TRAIN INTO EMERGENCY AND TRIED TO GET COMMUNICATION FROM HIS GROUNDMAN. THE LEAD END CAR SHOVED THE EUCLID 55 FEET FR"
26/04/16 9:10,"VINCENNES, INDIANA",HART ST,CSX Transportation,WHILE OPERATING NORTH J70926 STRUCK A VEHICLE THAT WENT AROUND THE CROSSING GATES. PROTECTION AT CROSSING ALSO INCLUDE ADVANCE WARNING.
25/04/16 19:15,"CHATTANOOGA, TENNESSEE",FAS4342/JERSEY PIKE,Norfolk Southern Corporation,NS TRAIN 709G125 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
25/04/16 14:40,"BRADFORD, VERMONT",FARM CROSSING MI L76,Washington County Railroad Corporation (ceased operations),"TRAIN WJNP WAS TRAVELING NORTHBOUND THROUGH BRADFORD, VT WITH LOCOMOTIVE CLP 306 AND 16 CARS (4 LOADS/12 EMPTIES). WHILE APPROACHING A PRIVATE FARM CROSSING AT MI L 76,23, A VEHICLE (SUBARU FORESTER)STARTED TO CROSS THE TRACKS HEADING EASTBOUND. THE CONDUCTOR NOTICED THE VEHICLE AND YELLED TO THE ENGINEER. THE ENGINEER BLEW THE HORN AND THEN MANUALLY PLACED THE TRAIN INTO AN EMERGENCY BRAKE APPLICATION REALIZING THE VEHICLE HAD NOW STOPPED ON THE TRACKS. THE TRAIN STRUCK THE VEHICLE IN THE PASS"
25/04/16 9:45,"FERRIS, TEXAS",8TH STREET,Union Pacific Railroad Company,PICKUP TRUCK WENT AROUND THE ACTIVATED GATES.
25/04/16 8:26,"ALEXANDRIA, LOUISIANA",PRIVATE,Union Pacific Railroad Company,AN AT&T UTILITY TRAILER WAS STOPPED ON THE CROSSING AND THE TRAIN CLIPPED THE END OF THE TRAILER ITWAS PULLING.
24/04/16 13:15,"TEXARKANA, TEXAS",SOUTH KINGS HWY,Union Pacific Railroad Company,PICKUP TRUCK WENT AROUND THE ACTIVATED GATES AND STRUCK THE 2ND LOCOMOTIVE.
23/04/16 11:00,TEXAS,CR 0115,BNSF Railway Company,
23/04/16 8:25,"PENFIELD, PENNSYLVANIA",STATE ROUTE 153,"Buffalo & Pittsburgh Railroad, Incorporated",THE HIGHWAY USER FAILED TO STOP AT STATE ROUTE 153 AND WAS STRUCK BY THE PSDB CREW.
22/04/16 22:30,"RICHMOND, TEXAS",DOUGLAS STREET,Union Pacific Railroad Company,PEDESTRIAN WENT AROUND THE ACTIVATED GATES AND CROSSED OVER THE TRACKS AND WAS THEN STRUCK BY THE TRAIN.
22/04/16 21:10,"OWENSBORO, KENTUCKY",W. 5TH ST,CSX Transportation,BICYCLIST DROVE HIS BICYCLE INTO THE PATH OF THE TRAIN. IT WAS REPORTED BY OWENSBORO POLICE THAT HEWAS INTOXICATED.
22/04/16 16:30,"N/A, KENTUCKY",CR 1211/WAVELND MUSE,Norfolk Southern Corporation,NS TRAIN 169T821 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
22/04/16 13:05,"DAVY, WEST VIRGINIA",SR 7/MAIN STREET,Norfolk Southern Corporation,NS TRAIN 17MU121 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
22/04/16 1:45,"LEXINGTON, NORTH CAROLINA",E 15TH ST,Norfolk Southern Corporation,NS TRAIN 290P221 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER ADDRESS UNKNOWN
21/04/16 23:55,"MACON, GEORGIA",CS1022/3RD ST,Norfolk Southern Corporation,NS TRAIN 139G821 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
21/04/16 18:15,"LATHROP, CALIFORNIA",EAST ROTH ROAD,Union Pacific Railroad Company,SEMI TRUCK WAS STUCK ON THE CROSSING PRIOR TO THE GATES DESCENDING.
21/04/16 18:00,"CAMARILLO, CALIFORNIA",LAS POSAS ROAD,Southern California Regional Rail Authority,"MOTORCYCLE DRIVER DISREGARDED GRADE CROSSING SAFETY DEVICES, RAN THROUGH CROSSING GATES AND STRUCK THE SIDE OF TRAIN 117."
21/04/16 13:50,"JAMESTOWN, NORTH DAKOTA",2ND AVE NE,BNSF Railway Company,41: PROCEEDED GATES
21/04/16 10:24,CALIFORNIA,SOUTH BEALE ROAD,Union Pacific Railroad Company,PICKUP TRUCK WAS PULLING A TRAILER AND STOPPED ON THE CROSSING PRIOR TO THE GATES DESCENDING. THE TRAIN STRUCK THE REAR OF THE TRAILER.
21/04/16 10:15,"N/A, OHIO",PRIVATE,Norfolk Southern Corporation,NS TRAIN 206B121 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
21/04/16 6:25,"LEANDER, TEXAS",HERO WAY,Capital Metropolitan Transportation Authority,"WHILE DEAD HEADING 2 SETS OF EQUIPMENT NORTH (TT WEST) TO LEANDER STATION, THE CMTY 102 STRUCK A FORD 550 TRUCK THAT HAD MISJUDGED A RIGHT HAND TURN AT THE CROSSING, CAUSING THE FRONT END OF THE VEHICLE TO BECOME STUCK IN THE BALLAST. NO INJURIES OR FATALITIES WERE CAUSED BY THIS INCIDENT. THE INCIDENT HAPPENED AT HERO WAY, MP 86.79 IN LEANDER TEXAS. THE CMTY 102 HAD A SECOND UNIT IN CONSIST, THE CMTY 103."
21/04/16 4:45,TEXAS,6TH ST,BNSF Railway Company,DRIVER AGE UNKNOWN
20/04/16 19:28,"NORCROSS, GEORGIA",US-23/SR-13/BUFORD H,Norfolk Southern Corporation,NS TRAIN G72.20 WAS STRUCK BY A HWY-USER AT A HWY-GRADE CROSSING.
20/04/16 18:35,"MOUNTAIN VIEW, GEORGIA",CS 1162/CHARLES GRAN,Norfolk Southern Corporation,NS TRAIN 64QG818 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
20/04/16 15:43,"PRICHARD, ALABAMA",MAIN STREET,Terminal Railway Alabama State Docks,"TASD-5 WAS PULLING 10 CARS SOUTH TO BELT JUNCTION LOCATED AT MOFFAT ROAD NEAR I-65. ENGINEER WAS OPREATING TRR 772 LOCOMOITVE LONG HOOD LEAD. TRAIN APPROACHED MAIN STREET CROSSING WITH LOCOMOTIVE HEAD LIGHTS, DITCH LIGHTS AND BLOWING HORN IN PROPER SEQUENCE AS OCCUPING CROSSING #304233N. TASD-5 CREW FELT A BUMP AS THE AUTOMOBILE STRUCK TRR772. ENGINEER SEEING THAT AUTOMOBILE HAD STRUCK THE LOCOMOITVE TRR772 AND STOPPED THE TRAIN IN A SAFE MANNER."
20/04/16 15:40,"MONTGOMERY, INDIANA",CR450E,CSX Transportation,"J78020 STRUCK A FARM TRACTOR AT CROSSING. PROTECTION AT CROSSING ALSO INCLUDE ADVANCE WARNING. DRIVER AGE UNKNOWN, NOT PROVIDED ON POLICE REPORT."
20/04/16 15:04,"PHOENIX, ARIZONA",INDIAN SCHOOL RD,BNSF Railway Company,DRIVER AGE UNKNOWN 41: PROCEEDED GATES
20/04/16 10:19,"N/A, GEORGIA",CR174,Norfolk Southern Corporation,NS TRAIN G45G920 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
20/04/16 7:45,ALABAMA,GLOVER ST,BNSF Railway Company,
20/04/16 6:45,"N/A, SOUTH CAROLINA",S-194/INDUSTRIAL DR.,Norfolk Southern Corporation,NS TRAIN P27 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
19/04/16 22:32,"DECATUR, ILLINOIS",32ND ST/32ND ST,Norfolk Southern Corporation,NS TRAIN DB20 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE UNKNOWN.
19/04/16 21:30,"SILSBEE, TEXAS",418,"Timberrock Railroad Company, Inc.","221 JOB WAS SHOVING 4 CARS TO SOUTH HAMPTON WHEN THEY STOPPED TO PROTECT THE CROSSING PER BULLETINS. CONDUCTOR PLACED FUSEE'S IN CROSSING AND PROTECTED. WITH NO CONFLICTING MOVEMENT HE INSTRUCTED ENGTO PROCEED OVER CROSSING REAR CAR WAS OCCUPYING 3/4 OF THE CROSSING WHEN COND SEEN THE VEHICLE APPROACH AT A HIGH RATE OF SPEED DESPITE WAVING LANTERN DRIVER ATTEMPTED TO ""BEAT TRAIN"" SPED UP MADE QUICK SWERE TO THE RIGHT, TO AVOID THE CAR BUT WAS STRUCK BY THE CAR IN REAR DRIVER SIDE QUARTER PANEL"
19/04/16 21:16,"CORVALLIS, OREGON",SW 17TH STREET,"Portland & Western Railroad, Inc.",A TRAIN STRUCK A VEHICLE ON THE CROSSING. THE ENGINEER SAW THE VEHICLE APPROACHING THE CROSSING ANDNOT STOPPING. HE APPLIED THE BRAKES AND PUT THE TRAIN INTO EMERGENCY. THE TRAIN CREW REPORTED THEY SUFFERED NO INJURIES. SHE TOLD THE CREW THAT SHE WAS NOT PAYING ATTENTION WHEN SHE APPROACHED AND CROSSED THE TRACKS. DRIVER ADMITTED TO NOT STOPPING FOR THE STOP SIGN. SHE WAS CITED FOR FAILURE TO OBEY A STOP SIGN AT THE GRADE CROSSING AND WAS UNINJURED.
19/04/16 20:48,"WILMINGTON, DELAWARE",CENTERVILLE ROAD,CSX Transportation,Q37319 WAS STRUCK BY A MOTORCYCLIST WHO FLED THE SCENE. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). AGE OF MOTORIST UNKNOWN.
19/04/16 13:45,"LINDEN, PENNSYLVANIA",SOUTH PINE RUN ROAD,Lycoming Valley Railroad Company,"AS THE TRAIN APPROACHED S. PINE RUN ROAD, A PICK-UP TRUCK ATTEMPTED TO CROSS IN FRONT OF THE TRAIN AND REALIZED HE COULDN'T MAKE IT THROUGH THE CROSSING, TRIED TO BACKUP OFF THE CROSSING, BUT ACCIDENTALLY PUT THE TRUCK IN A FORWARD GEAR AND THE TRAIN STRUCK THE VEHICLE. NO INJURIES TO THE MOTORIST OR TRAIN CREW. NO DAMAGES TO RR EQUIPMENT."
19/04/16 13:34,"EMPORIA, VIRGINIA",LOW GROUND RD,Amtrak (National Railroad Passenger Corporation),TRAIN 89 STRUCK TWO PEDESTRIANS AT LOW GROUND RD CROSSING. THERE WAS NO EQUIPMENT DAMAGE.
19/04/16 7:15,"OWENSBORO, KENTUCKY",FREDERICA STREET,CSX Transportation,DRIVER STOPPED AT CROSSING THEN VEHICLE DRIFTED INTO SIDE OF MOVING TRAIN. TRAIN CREW WAS UNAWARE THAT INCIDENT OCCURRED UNTIL NOTIFIED BY TRAIN DISPATCHER INCIDENT OCCURRED.
19/04/16 5:35,"BATON ROUGE, LOUISIANA",PRIVATE ROAD,Illinois Central Railroad Company,SEMI-DRIVER FAILED TO YIELD FOR THE ONCOMING TRAIN AT A PRIVATE CROSSING AND WAS HIT BY THE LEAD UNIT. NO INJURIES WERE REPORTED.
18/04/16 23:50,"COLONIAL HEIGHTS, VIRGINIA",DUPUY ROAD,CSX Transportation,CIRCUS TRAIN P92418 STRUCK A VEHICLE AT CROSSING. LOADED PASSENGER CARS AND NUMBER OF PASSENGERS ISAN ESTIMATE DUE TO NOT GATHERING THE INFORMATION WHEN INCIDENT OCCURRED. ATTEMPTING TO CONTACT THE CIRCUS TO SEE IF THEY HAVE RECORD OF THE NUMBER OF PEOPLE ON HOW MANY CARS. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).
18/04/16 16:30,"N/A, SOUTH CAROLINA",S-60/CHURCH ST,Norfolk Southern Corporation,NS MOW VEHICLE STRUCK HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED.
18/04/16 10:58,"PROVO, UTAH",2550 W 1680 NORTH ST,Union Pacific Railroad Company,SEMI TRUCK WAS BACKING UP ON THE CROSSING AS THE TRAIN CAME THROUGH AND COLLIDED WITH THE SEMI TRUCK. HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED
18/04/16 3:11,"HOUSTON, TEXAS",LONG STREET,Union Pacific Railroad Company,
17/04/16 9:30,"INDEPENDENCE, KENTUCKY",WEBSTER ROAD,CSX Transportation,TRUCK DROVE INTO SIDE OFF Q51116 AT MP 00T 97.20.
16/04/16 21:59,CALIFORNIA,YOSEMITE BLVD.,Amtrak (National Railroad Passenger Corporation),"TRAIN 703 OPERATING WITH LOCOMOTIVE CDTX 2004 AND 5 CARS STRUCK AN UNOCCUPIED VEHICLE AT MP 1089.27, YOSEMITE BLVD CROSSING. THE VEHICLE HAD BEEN INVOLVED IN AN ACCIDENT PRIOR TO BEING STRUCK BY THETRAIN. AMTRAKS EQUIPMENT DAMAGE IS $18,000.00. THE AGE AND GENDER OF THE DRIVER WAS NOT AVAILABLE."
16/04/16 18:00,"MUNCIE, INDIANA",BATAVIA AVE,CSX Transportation,L34816 WAS TRAEVELING EAST ON #1 MAIN AND TRESPASSER WALKED INTO TRAIN.
16/04/16 13:50,"LOWELL, ARKANSAS",EAST MONROE,Arkansas & Missouri Railroad Company,DURNK DRIVER WAS STRUCK AT THE CROSSING. DRIVER FLED THEN RETURNED TO THE SCENE. DRIVER WAS ARRESTED
15/04/16 18:20,"MANTECA, CALIFORNIA",YOSEMITE AVENUE,Union Pacific Railroad Company,MALE & FEMALE PEDESTRIANS WERE CROSSING THE TRACKS (PRIOR TO THE GATES DESCENDED) THE FEMALE STOPPED AND STOOD BETWEEN THE RAILS ON THE CROSSING. THE MALE GRABBED THE FEMALE AROUND THE WAIST AND MOVED HER TO SAFETY. IN THE PROCESS OF MOVING THE FEMALE OUT OF THE PATH OF THE TRAIN THE MALE WAS STRUCK BY THE PLOW ON THE TRAIN.
15/04/16 16:22,"POST FALLS, IDAHO",PRIVATE CROSSING,Union Pacific Railroad Company,SEMI TRUCK FAILED TO STOP PRIOR TO CROSSING THE TRACKS.
15/04/16 12:54,"HANSON, KENTUCKY",JOE TIPPETT,CSX Transportation,K44314 WAS TRAVELING SOUTH WHEN A CAR FAILED TO STOP AT THE CROSSING DUE TO THE DRIVER BEING INATTENTIVE AND STRUCK THE SIDE OF THE TRAIN.
15/04/16 12:39,"ELMWOOD PARK, ILLINOIS",73RD STREET,Northeast IL Regional Commuter Rail Corp.(METRA),TRESPASSER RAN FROM SOUTH TO NORTH ACROSS GRAE CROSSING. TRAIN COULD NOT STOP AND STRUCK TRESPASSER.
15/04/16 11:45,"EDMOND, OKLAHOMA",33RD STREET,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
15/04/16 10:10,"TUCSON, ARIZONA",PRIVATE CROSSING,Union Pacific Railroad Company,PICKUP TRUCK DID NOT STOP AND PRECEDED THROUGH THE CROSSING AS THE TRAIN WAS ENTERING THE CROSSING.
15/04/16 8:35,"WOODBURN, OREGON",ST LOU'S RD,"Portland & Western Railroad, Inc.",A TRAIN CREW WAS HEADING EASTBOUND ON THE MAIN TRACK AND TRAVERSED THROUGH A CROSSING. THEY HEARD WHAT WAS BELIEVED TO BE A GRINDING NOISE. AS THEY LOOKED BACK ALL THAT COULD BE SEEN WAS A CAR AT THECROSSING FROM A DISTANCE. THEY WERE UNAWARE THAT THEY HIT A CAR. THE TRAIN CREW WAS NOTIFIED ABOUT A VEHICLE THAT WAS STRUCK AND STOPPED THE TRAIN. THE VEHICLE WAS STRUCK BY THE FIRST TWO LOCOMOTIVESAND WAS PUSHED AWAY FROM THE MAINLINE. THE DRIVER OF THE VEHICLE WAS UNINJURED AND CITED FOR FAILURE
15/04/16 3:15,"HOUSTON, TEXAS",LYONS AVE,Union Pacific Railroad Company,FORD PICKUP WAS BEING PURSUED BY POLICE WHEN THE DRIVER WENT THROUGH THE ACTIVATED GATES AND HIT ONE OF THE RAIL CARS OCCUPYING THE CROSSING. DRIVER EXITED THE VEHICLE AND WAS PURSUED ON FOOT.
14/04/16 14:15,"CONOVER, NORTH CAROLINA",PRIVATE,Norfolk Southern Corporation,NS TRAIN P60P814 STRUCK HWY-USER AT A HWY-GRADE CROSSING.
14/04/16 12:30,LOUISIANA,WESTDALE PLANTATION,Union Pacific Railroad Company,BALLAST REGULATOR WAS TRUCK BY THE PICKUP TRUCK THAT DID NOT STOP.
14/04/16 10:45,"WARESBORO, GEORGIA",PINE VALLEY ROAD,St Marys Railway West LLC,
14/04/16 9:58,ILLINOIS,PRIVATE,Amtrak (National Railroad Passenger Corporation),TRAIN 381 OPERATING WITH LOCOMOTIVE E/65 AND 4 CARS STRUCK AN OCCUPIED TRACTOR-TRAILER AT CROSSING
14/04/16 9:18,"WASHINGTON, INDIANA",MERIDIAN ST,CSX Transportation,J78014 STRUCK VEHICLE AT THE CROSSING.
13/04/16 22:30,"NEW BRAUNFELS, TEXAS",WALD ROAD,Union Pacific Railroad Company,DRIVER WENT AROUND ACTIVATED GATES AND STRUCK THE 3RD RAIL CAR IN THE CONSIST.
13/04/16 16:40,KANSAS,340TH AVE,Union Pacific Railroad Company,"PICKUP TRUCK PULLING A BOAT ON A TRAILER, FAILED TO YIELD THE ONCOMING TRAIN, WHICH STRUCK THE BOATAS IT WAS CROSSED OVER THE TRACKS. #32 WARNING DEVICES: YIELD SIGN"
13/04/16 13:20,"N/A, ALABAMA",CO,Norfolk Southern Corporation,NS TRAIN 22NAB13 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
13/04/16 8:12,"DOWNERS GROVE, ILLINOIS",MAIN ST,Burlington Northern Santa Fe Suburban Operations,41: WALKED AROUND GATES
12/04/16 18:23,"KENT, WASHINGTON",SMITH ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 509 OPERATING PUSH-PULL WITH ENG E/465, 13 CARS, AND E/116 STRUCK AN OCCUPIED VEHICLE AT MP 16.18, SMITH ST CROSSING. THE VEHICLE LOST A REAR BUMPER AND LEFT THE SCENE. THERE WAS NO EQUIPMENTDAMAGE. THE AGE AND GENDER OF DRIVER WAS NOT AVAILABLE."
12/04/16 15:30,"HARVEY, ILLINOIS",PRIVATE CROSSING,Illinois Central Railroad Company,DRIVER OF SEMI-TRUCK ATTEMPTED TO BEAT THE TRAIN OVER THE PRIVATE CROSSING TRAIN STRUCK THE REAR PORTION OF THE TRAILER. NO INJURIES WERE REPORTED.
12/04/16 11:38,"NEW ROSS, INDIANA",NEW ROSS RD,CSX Transportation,J72712 STRUCK A DUMP TRUCK AT NEW ROSS RD. ON THE CRAWFORDSVILLE BRANCH SUB. PROTECTION ALSO AT CROSSING: ADVANCED WARNING.
12/04/16 2:15,"MONROE, MICHIGAN",CITY/THIRD ST,Norfolk Southern Corporation,NS TRAIN 38EB011 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
11/04/16 20:20,"DURHAM, NORTH CAROLINA",RAMSEUR STREET,Amtrak (National Railroad Passenger Corporation),"TRAIN 76 OPERATING WITH LOCOMOTIVE NC/1859 AND 3 CARS STRUCK AN UNOCCUPIED VEHICLE AT MP 154.78, RAMSEUR ST CROSSING. DRIVER GOT OUT OF HIS VEHICLE AFTER BEING TRAPPED BETWEEN RAILROAD ARMS AND CALLED AUTHORITIES. THE AGE OF THE DRIVER WAS NOT AVAILABLE."
11/04/16 19:30,"DAYTONA BEACH, FLORIDA",GEORGE W. INGRAM,Florida East Coast Railway Company,TRESPASSER WAS RIDING A BICYCLE AND WENT AROUND THE LOWERED CROSSING GATES AND WAS STRUCK BY TRAIN SUSTAINING FATAL INJURIES.
11/04/16 14:40,MONTANA,GARRYOWEN S 2MI,BNSF Railway Company,
11/04/16 8:06,"PILOT POINT, TEXAS",MCKINNEY STREET,Union Pacific Railroad Company,"MALE ON A BICYCLE ATTEMPTED TO GO AROUND THE LOWERED ACTIVATED GATES, HE HIT THE GATES AND FELL ONTO THE CROSSING."
11/04/16 7:14,LOUISIANA,LA841/PRAIRIE ROAD,Union Pacific Railroad Company,"THE DRIVER OF THE VEHICLE PULLED UP TO THE CROSSING AND STOPPED, THEN AT THE LAST MINUTE DECIDED TOGO AROUND THE ACTIVATED GATES. HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING"
11/04/16 7:05,CALIFORNIA,AVE 15 1/2,Amtrak (National Railroad Passenger Corporation),"TRAIN 711 STRUCK AN OCCUPIED VEHICLE AT AVENUE 15 1/2 STREET CROSSING. AMTRAKS EQUIPMENT DAMAGE IS$17,661.00."
09/04/16 19:20,"MARCUS HOOK, PENNSYLVANIA",BORO/PENN,Consolidated Rail Corporation,HIGHWAY USER STRUCK LOCOMOTIVE CSX 4428 DUE TO HIGHWAY USER INATTENTIVENESS.
09/04/16 1:10,"BUTLER, PENNSYLVANIA",RADAR SCHOOL ROAD,"Buffalo & Pittsburgh Railroad, Incorporated",PW2 CREW CAME UPON RADAR SCHOOL ROAD CROSSING TO FIND A VEHICLE FLIPPED ON ITS ROOF WITH THE REAR OF THE VEHICLE FOULING THE BP MAIN AT RADAR SCHOOL CROSSING. ONCE IMPACT WAS MADE THE VEHICLE ACTUALLY ENDED RIGHT SIDE UP IN A DITCH BESIDE THE CROSSING. OCCUPANTS WERE OUTSIDE THE VEHICLE ATTEMPTING TO FLIP ONTO ITS WHEELS WHEN THE IMPACT HAPPENED.
